ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	TURCHINID
20985	Anuta	?	above		ruŋa	r u ŋ a	R V N V	r u N a	R Y N A	9	6	above:ru	13
30371	BanjareseMalay	?	above		atas	a t a s	V T V S	a t a s	A T A S	1	1	above:at	3
38937	Carolinian	?	above		woo	w oo	W V	w o	W U	2	5	above:wo	18
55796	Cebuano	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5	above:ib	6
63532	Chuukese	?	above		woo	w oo	W V	w o	W U	2	5	above:wo	18
26551	DayakNgaju	?	above		hunjun	h u n j u n	H V N J V N	h u n y u n	H Y N J Y N	15	2	above:hu	5
37341	FutunaEast	?	above		a/luga/	a l u g a	V R V K V	a l u g a	A L Y K A	9	6	above:al	2
5313	Imorod	?	above		teyngato	t ey n g a t o	T V N K V T V	t e n g a t o	T E N K A T U	16	3	above:te	14
19638	Iraralay	?	above		towos	t o w o s	T V W V S	t o w o s	T U W U S	17	4	above:to	16
19639	Iraralay	?	above		tingato	t i n g a t o	T V N K V T V	t i n g a t o	T I N K A T U	16	3	above:ti	15
12331	Isamorong	?	above		tohos	t o h o s	T V H V S	t o h o s	T U H U S	17	4	above:to	16
31330	Itbayat	?	above		toxos	t o x o s	T V K V S	t o x o s	T U G U S	17	4	above:to	16
58633	Ivasay	?	above		ato	a t o	V T V	a t o	A T U	1	1	above:at	3
58634	Ivasay	?	above		tohos	t o h o s	T V H V S	t o h o s	T U H U S	17	4	above:to	16
10760	Lakalai	?	above		oata	oa t a	V T V	o t a	U T A	1	1	above:ot	12
10081	Luangiua	?	above		luŋa	l u ŋ a	R V N V	l u N a	L Y N A	9	6	above:lu	8
38459	Marquesan	?	above		una	u n a	V N V	u n a	Y N A	9	6	above:un	17
49505	NakanaiBilekiDialect	?	above		oata	oa t a	V T V	o t a	U T A	1	1	above:ot	12
15203	Niue	?	above		lunga	l u n g a	R V N K V	l u n g a	L Y N K A	9	6	above:lu	8
16523	Penrhyn	?	above		runga	r u n g a	R V N K V	r u n g a	R Y N K A	9	6	above:ru	13
42701	RapanuiEasterIsland	?	above		ruga	r u g a	R V K V	r u g a	R Y K A	9	6	above:ru	13
18783	Rarotongan	?	above		runga	r u n g a	R V N K V	r u n g a	R Y N K A	9	6	above:ru	13
34850	Rennellese	?	above		a/gunga/	a g u n g a	V K V N K V	a g u n g a	A K Y N K A	9	6	above:ag	1
51646	Rurutuan	?	above		nuʔa	n u ʔ a	N V H V	n u 7 a	N Y H A	9	6	above:nu	10
61579	Tagalog	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5	above:ib	6
61580	Tagalog	?	above		itaas	i t aa s	V T V S	i t a s	I T A S	1	1	above:it	7
